episode,t,obs,act,rew
9,54,"(31, 3)",1,-0.17
9,55,"(32, 3)",1,-0.17
9,56,"(33, 3)",0,-0.17
9,57,"(33, 2)",1,-0.17
9,58,"(34, 2)",1,-0.17
9,59,"(35, 2)",2,-0.17
9,60,"(35, 3)",1,-0.17
9,61,"(36, 3)",1,-0.17
9,62,"(37, 3)",1,-0.17
9,63,"(38, 3)",1,-0.17
9,64,"(39, 3)",0,-0.17
9,65,"(39, 2)",0,-0.17
9,66,"(39, 1)",0,16.67
10,0,"(0, 19)",0,-0.17
10,1,"(0, 18)",1,-0.17
10,2,"(1, 18)",0,-0.17
10,3,"(1, 17)",0,-0.17
10,4,"(1, 16)",0,-0.17
10,5,"(1, 15)",0,-0.17
10,6,"(1, 14)",0,-0.17
10,7,"(1, 13)",0,-16.67
10,8,"(1, 13)",1,-0.17
10,9,"(2, 13)",0,-0.17
10,10,"(2, 12)",1,-0.17
10,11,"(3, 12)",0,-0.17
10,12,"(3, 11)",1,-0.17
10,13,"(4, 11)",1,-0.17
10,14,"(5, 11)",0,-0.17
10,15,"(5, 10)",0,-0.17
10,16,"(5, 9)",0,-0.17
10,17,"(5, 8)",1,-16.67
10,18,"(5, 8)",0,-0.17
10,19,"(5, 7)",1,-0.17
10,20,"(6, 7)",0,-0.17
10,21,"(6, 6)",0,-0.17
10,22,"(6, 5)",1,-0.17
10,23,"(7, 5)",1,-0.17
10,24,"(8, 5)",1,-0.17
10,25,"(9, 5)",1,-0.17
10,26,"(10, 5)",1,-0.17
10,27,"(11, 5)",1,-0.17
10,28,"(12, 5)",1,-0.17
10,29,"(13, 5)",1,-0.17
10,30,"(14, 5)",1,-0.17
10,31,"(15, 5)",1,-0.17
10,32,"(16, 5)",1,-0.17
10,33,"(17, 5)",1,-0.17
10,34,"(18, 5)",1,-0.17
10,35,"(19, 5)",1,-0.17
10,36,"(20, 5)",1,-0.17
10,37,"(21, 5)",0,-0.17
10,38,"(21, 4)",1,-0.17
10,39,"(22, 4)",1,-0.17
10,40,"(23, 4)",1,-0.17
10,41,"(24, 4)",0,-0.17
10,42,"(24, 3)",1,-0.17
10,43,"(25, 3)",1,-0.17
10,44,"(26, 3)",1,-0.17
10,45,"(27, 3)",1,-0.17
10,46,"(28, 3)",1,-0.17
10,47,"(29, 3)",1,-0.17
10,48,"(30, 3)",1,-0.17
10,49,"(31, 3)",1,-0.17
10,50,"(32, 3)",1,-0.17
10,51,"(33, 3)",0,-0.17
10,52,"(33, 2)",1,-0.17
10,53,"(34, 2)",1,-0.17
10,54,"(35, 2)",2,-0.17
10,55,"(35, 3)",1,-0.17
10,56,"(36, 3)",1,-0.17
10,57,"(37, 3)",1,-0.17
10,58,"(38, 3)",0,-0.17
10,59,"(38, 2)",0,-0.17
10,60,"(38, 1)",0,-0.17
10,61,"(38, 0)",1,16.67
11,0,"(0, 19)",0,-0.17
11,1,"(0, 18)",0,-0.17
11,2,"(0, 17)",0,-0.17
11,3,"(0, 16)",1,-0.17
11,4,"(1, 16)",1,-0.17
11,5,"(2, 16)",1,-0.17
11,6,"(3, 16)",1,-0.17
11,7,"(4, 16)",1,-0.17
11,8,"(5, 16)",0,-0.17
11,9,"(5, 15)",1,-0.17
11,10,"(6, 15)",0,-0.17
11,11,"(6, 14)",1,-0.17
11,12,"(7, 14)",1,-16.67
11,13,"(7, 14)",0,-0.17
11,14,"(7, 13)",1,-0.17
11,15,"(8, 13)",1,-0.17
11,16,"(9, 13)",1,-16.67
11,17,"(9, 13)",0,-0.17
11,18,"(9, 12)",0,-0.17
11,19,"(9, 11)",0,-0.17
11,20,"(9, 10)",0,-0.17
11,21,"(9, 9)",0,-0.17
11,22,"(9, 8)",0,-0.17
11,23,"(9, 7)",1,-0.17
11,24,"(10, 7)",0,-16.67
11,25,"(10, 7)",1,-0.17
11,26,"(11, 7)",0,-0.17
11,27,"(11, 6)",0,-0.17
11,28,"(11, 5)",1,-0.17
